USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,86,0.0,0.0,0,0,?,S,13:31,0:00,[kdevtmpfs]
root,87,0.0,0.0,0,0,?,I<,13:31,0:00,[inet_frag_wq]
root,88,0.0,0.0,0,0,?,S,13:31,0:00,[kauditd]
root,89,0.0,0.0,0,0,?,S,13:31,0:00,[khungtaskd]
root,90,0.0,0.0,0,0,?,S,13:31,0:00,[oom_reaper]
root,92,0.0,0.0,0,0,?,I<,13:31,0:00,[writeback]
root,94,0.0,0.0,0,0,?,S,13:31,0:00,[kcompactd0]
root,95,0.0,0.0,0,0,?,SN,13:31,0:00,[ksmd]
root,96,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/6:1-mm_percpu_wq]
root,97,0.0,0.0,0,0,?,SN,13:31,0:00,[khugepaged]
root,98,0.0,0.0,0,0,?,I<,13:31,0:00,[kintegrityd]
root,99,0.0,0.0,0,0,?,I<,13:31,0:00,[kblockd]
root,100,0.0,0.0,0,0,?,I<,13:31,0:00,[blkcg_punt_bio]
root,101,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/10:1-mm_percpu_wq]
root,102,0.0,0.0,0,0,?,I<,13:31,0:00,[tpm_dev_wq]
root,103,0.0,0.0,0,0,?,I<,13:31,0:00,[ata_sff]
root,104,0.0,0.0,0,0,?,I<,13:31,0:00,[md]
root,105,0.0,0.0,0,0,?,I<,13:31,0:00,[edac-poller]
root,106,0.0,0.0,0,0,?,I<,13:31,0:00,[devfreq_wq]
root,107,0.0,0.0,0,0,?,S,13:31,0:00,[watchdogd]
root,108,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/10:1H-kblockd]
root,109,0.0,0.0,0,0,?,S,13:31,0:00,[irq/25-AMD-Vi]
root,110,0.1,0.0,0,0,?,S,13:31,0:01,[kswapd0]
root,111,0.0,0.0,0,0,?,S,13:31,0:00,[ecryptfs-kthread]
root,112,0.0,0.0,0,0,?,I<,13:31,0:00,[kthrotld]
root,113,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/1:1-cgroup_destroy]
root,114,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/2:1-cgwb_release]
root,117,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/5:1-events]
root,121,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/11:1-mm_percpu_wq]
root,122,0.0,0.0,0,0,?,I<,13:31,0:00,[acpi_thermal_pm]
root,124,0.0,0.0,0,0,?,I<,13:31,0:00,[mld]
root,125,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/8:1H-kblockd]
root,126,0.0,0.0,0,0,?,I<,13:31,0:00,[ipv6_addrconf]
root,133,0.0,0.0,0,0,?,I<,13:31,0:00,[kstrp]
root,135,0.0,0.0,0,0,?,I<,13:31,0:00,[zswap-shrink]
root,136,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/u25:0-hci0]
root,140,0.0,0.0,0,0,?,I<,13:31,0:00,[charger_manager]
root,163,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/2:1H-kblockd]
root,177,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/5:1H-kblockd]
root,178,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/9:1H-kblockd]
root,179,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/4:1H-kblockd]
root,180,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/6:1H-kblockd]
root,181,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/0:1H-kblockd]
root,182,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/11:1H-kblockd]
root,183,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/7:1H-kblockd]
root,189,0.0,0.0,0,0,?,S,13:31,0:00,[irq/30-MSFT0001:00]
root,191,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/3:1H-kblockd]
root,192,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/1:1H-kblockd]
root,214,0.0,0.0,0,0,?,S,13:31,0:00,[scsi_eh_0]
root,215,0.0,0.0,0,0,?,I<,13:31,0:00,[scsi_tmf_0]
root,216,0.0,0.0,0,0,?,S,13:31,0:00,[scsi_eh_1]
root,217,0.0,0.0,0,0,?,I<,13:31,0:00,[scsi_tmf_1]
root,223,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/6:2-cgroup_destroy]
root,224,0.0,0.0,0,0,?,I<,13:31,0:00,[nvme-wq]
root,225,0.0,0.0,0,0,?,I<,13:31,0:00,[nvme-reset-wq]
root,226,0.0,0.0,0,0,?,I<,13:31,0:00,[nvme-delete-wq]
root,227,0.0,0.0,0,0,?,I<,13:31,0:00,[nvme-auth-wq]
root,228,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/11:2-events]
root,260,0.0,0.0,0,0,?,S,13:31,0:00,[jbd2/nvme0n1p2-8]
root,261,0.0,0.0,0,0,?,I<,13:31,0:00,[ext4-rsv-conver]
root,311,0.0,0.3,65528,20152,?,S<s,13:31,0:00,/lib/systemd/systemd-journald
root,334,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/2:2-mm_percpu_wq]
root,349,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/1:2-mm_percpu_wq]
root,350,0.0,0.1,27600,6784,?,Ss,13:31,0:00,/lib/systemd/systemd-udevd
root,482,0.0,0.0,0,0,?,I,13:31,0:00,[kworker/8:3-events]
root,581,0.0,0.0,0,0,?,I<,13:31,0:00,[cfg80211]
root,592,0.0,0.0,0,0,?,I<,13:31,0:00,[cryptd]
root,642,0.0,0.0,0,0,?,I<,13:31,0:00,[kworker/u25:1-hci0]
systemd+,691,0.1,0.1,14828,6784,?,Ss,13:31,0:01,/lib/systemd/systemd-oomd
systemd+,692,0.0,0.2,25796,13672,?,Ss,13:31,0:00,/lib/systemd/systemd-resolved
systemd+,693,0.0,0.1,89380,7168,?,Ssl,13:31,0:00,/lib/systemd/systemd-timesyncd
root,704,0.0,0.0,0,0,?,I<,13:31,0:00,[amd_iommu_v2]
root,705,0.0,0.0,0,0,?,I<,13:31,0:00,[ath10k_wq]
root,706,0.0,0.0,0,0,?,I<,13:31,0:00,[ath10k_aux_wq]
root,707,0.0,0.0,0,0,?,I<,13:31,0:00,[ath10k_tx_compl]
root,794,0.0,0.1,240224,7784,?,Ssl,13:31,0:00,/usr/libexec/accounts-daemon
root,795,0.0,0.0,2812,1792,?,Ss,13:31,0:00,/usr/sbin/acpid
avahi,798,0.0,0.0,7628,3584,?,Ss,13:31,0:00,avahi-daemon:,running,[marimba.local]
root,800,0.0,0.0,10592,5248,?,Ss,13:31,0:00,/usr/lib/bluetooth/bluetoothd
root,801,0.0,0.0,9496,2688,?,Ss,13:31,0:00,/usr/sbin/cron,-f,-P
message+,803,0.0,0.0,11252,5888,?,Ss,13:31,0:01,@dbus-daemon,--system,--address=systemd:,--nofork,--nopidfile,--systemd-activation,--syslog-only
root,805,0.0,0.3,261440,18368,?,Ssl,13:31,0:01,/usr/sbin/NetworkManager,--no-daemon
root,811,0.0,0.0,82840,3968,?,Ssl,13:31,0:00,/usr/sbin/irqbalance,--foreground
root,812,0.0,0.3,41124,20096,?,Ss,13:31,0:00,/usr/bin/python3,/usr/bin/networkd-dispatcher,--run-startup-triggers
root,813,0.1,0.1,236968,10180,?,Ssl,13:31,0:01,/usr/libexec/polkitd,--no-debug
root,816,0.0,0.1,240088,7296,?,Ssl,13:31,0:00,/usr/libexec/power-profiles-daemon
syslog,818,0.0,0.0,222400,5760,?,Ssl,13:31,0:00,/usr/sbin/rsyslogd,-n,-iNONE
root,823,0.2,0.5,2059012,32940,?,Ssl,13:31,0:03,/usr/lib/snapd/snapd
root,827,0.0,0.1,236468,6656,?,Ssl,13:31,0:00,/usr/libexec/switcheroo-control
root,833,0.0,0.1,48260,8000,?,Ss,13:31,0:00,/lib/systemd/systemd-logind
root,838,0.0,0.2,394088,13732,?,Ssl,13:31,0:00,/usr/libexec/udisks2/udisksd
root,841,0.0,0.1,17684,9984,?,Ss,13:31,0:00,/sbin/wpa_supplicant,-u,-s,-O,/run/wpa_supplicant
avahi,846,0.0,0.0,7440,1280,?,S,13:31,0:00,avahi-daemon:,chroot,helper
root,875,0.0,0.2,317960,12080,?,Ssl,13:31,0:00,/usr/sbin/ModemManager
